"Procode","SpellStart","n"
"R0B",2020-12-28,193
"R0B",2020-12-29,391
"R0B",2020-12-30,374
"R0B",2020-12-31,392
"R0B",2021-01-01,136
"R0B",2021-01-02,173
"R0B",2021-01-03,162
"R0B",2021-01-04,447
"R0B",2021-01-05,371
"R0B",2021-01-06,447
"R0B",2021-01-07,409
"R0B",2021-01-08,423
"R0B",2021-01-09,185
"R0B",2021-01-10,154
"R0B",2021-01-11,441
"R0B",2021-01-12,421
"R0B",2021-01-13,376
"R0B",2021-01-14,382
"R0B",2021-01-15,362
"R0B",2021-01-16,204
"R0B",2021-01-17,141
"R0B",2021-01-18,439
"R0B",2021-01-19,438
"R0B",2021-01-20,412
"R0B",2021-01-21,444
"R0B",2021-01-22,415
"R0B",2021-01-23,165
"R0B",2021-01-24,136
"R0B",2021-01-25,432
"R0B",2021-01-26,418
"R0B",2021-01-27,411
"R0B",2021-01-28,467
"R0B",2021-01-29,400
"R0B",2021-01-30,162
"R0B",2021-01-31,145
"R0B",2021-02-01,428
"R0B",2021-02-02,432
"R0B",2021-02-03,433
"R0B",2021-02-04,458
"R0B",2021-02-05,421
"R0B",2021-02-06,174
"R0B",2021-02-07,142
"R0B",2021-02-08,431
"R0B",2021-02-09,437
"R0B",2021-02-10,382
"R0B",2021-02-11,450
"R0B",2021-02-12,416
"R0B",2021-02-13,171
"R0B",2021-02-14,152
"R0B",2021-02-15,431
"R0B",2021-02-16,418
"R0B",2021-02-17,435
"R1F",2020-06-11,82
"R1F",2020-06-12,79
"R1F",2020-06-13,34
"R1F",2020-06-14,42
"R1F",2020-06-15,74
"R1F",2020-06-16,100
"R1F",2020-06-17,82
"R1F",2020-06-18,101
"R1F",2020-06-19,78
"R1F",2020-06-20,39
"R1F",2020-06-21,47
"R1F",2020-06-22,89
"R1F",2020-06-23,98
"R1F",2020-06-24,84
"R1F",2020-06-25,92
"R1F",2020-06-26,82
"R1F",2020-06-27,38
"R1F",2020-06-28,32
"R1F",2020-06-29,80
"R1F",2020-06-30,75
"R1F",2020-07-01,98
"R1F",2020-07-02,75
"R1F",2020-07-03,94
"R1F",2020-07-04,41
"R1F",2020-07-05,35
